,E104,E094,E098,E100,E085,E087,E097,E106,E065,E105,E066,E114,E116,E118,E119,E120,E122,E079,E123,E113,E003,E127,E027,E004,E006,E057,E056,E055,E007,E054,E058,E011,E053,E050,E012,E013,E016,E059,E024,E117,E070,E071,E038,E096,E109,E112,E095,E047,E084,E082,E062,E005,E061,E028,E037
E104,1.0,0.9626182678387393,0.4552859159162466,0.5082647007424443,0.0039745329216398844,0.0343791733259313,0.010790336738870681,0.07465859160186278,0.014000369536790774,0.16416922408977544,0.11463435171777206,0.12415826732334126,0.14697452363280095,0.10428201583207752,0.3129394272415731,0.1737771852590719,0.09516716308271246,0.08980728900069146,0.06880422867720942,0.14308838495889817,0.15211969879984297,0.17186084667087542,0.10103442362514599,0.12245804393116051,0.13434418975213638,0.08891937180551739,0.10093060687874664,0.14307613167142827,0.15423432765706857,0.15725775093537503,0.12461746773752751,0.16035980720059184,0.11975235434745785,0.12551343368169718,0.17924439665910596,0.16638790926812905,0.1581610515822173,0.09695060945858545,0.11134465975284169,0.06044646505705804,0.1378870992889497,0.09894710154233338,0.11541498571438487,0.17866262808063463,0.14633333888304795,0.12405709387817034,0.07337249567351069,0.14279600960333272,0.11507678576551227,0.14286250506268877,0.14275592317439023,0.14821072257916287,0.11941672816683302,0.11559769620988927,0.11033958547250333
E094,0.9626182678387393,1.0,0.519118221648465,0.4936415025422457,0.0033787850253383126,0.03060901729498221,0.009414594653021219,0.06792347986822204,0.012059626172044289,0.14753685921560608,0.09960608720785806,0.11510311815625329,0.14341682709460132,0.09201703209991897,0.31354002059433533,0.1539566180694798,0.09141869577176918,0.080785705422367,0.062026856621856544,0.13251736030097003,0.13734934803598203,0.15199945342494078,0.09071742957140988,0.11061597005018974,0.1240216885440257,0.0775651474797566,0.08287480096310225,0.12239673483460123,0.13910629685601336,0.14178263023874818,0.10782113101916824,0.15169919210798455,0.10888329151630438,0.11257304314311284,0.16453393788877946,0.15559535271180255,0.14611136937089278,0.08583645809341994,0.09892713450116174,0.05690557907612055,0.12151303404934782,0.09212340819515112,0.10769937954090301,0.16402763916512822,0.12480210571551871,0.10832308348783788,0.06255855337595807,0.13857362316522137,0.10891891743425586,0.13585825125259302,0.12813999103314777,0.12853663571939078,0.10587275672891071,0.10692981526501141,0.10261059790416135
E098,0.4552859159162466,0.519118221648465,1.0,0.28840671565067283,0.0034714551363895447,0.03275279451417655,0.009560229215092383,0.06884373676746852,0.024380267520137423,0.14201758664633035,0.1052457742156311,0.15762733008035582,0.18214405327455707,0.1386624106116491,0.25561193733774834,0.1433964669425888,0.11339077491448482,0.07729247320494566,0.07574790680943574,0.17252022857067736,0.1408604387554171,0.1655750697903095,0.11248678931810636,0.09417977148023518,0.12538156588629826,0.09027834360103329,0.09821341114689752,0.17123540315064217,0.13640292106261143,0.19458442534321538,0.1164165921484459,0.16993246246401258,0.11156727895341292,0.1252967839662133,0.14024409470600893,0.1797536861182782,0.1628114274175187,0.08122807124755743,0.15314722067743716,0.08046412029297567,0.1244444029134447,0.07490853622461181,0.1281357051312329,0.16764895443637456,0.15924248519534778,0.10988275432492177,0.0593207169649825,0.1759206723289551,0.11985055994345904,0.1367482314144115,0.13314372692256127,0.11750156434850975,0.11683641543667794,0.12440381499424315,0.12902924247156775
E100,0.5082647007424443,0.4936415025422457,0.28840671565067283,1.0,0.002506855552604603,0.02345092487056038,0.006629147213164955,0.049265138611031836,0.010419971828488304,0.1048339439876246,0.06973960578713252,0.08068016685072449,0.09687087653233942,0.05991603813296197,0.18362226135628335,0.09829473908198054,0.06441595531780686,0.05139205584897026,0.041123923453962354,0.09400444252735901,0.09041948286411926,0.10197955007695894,0.05720859944107233,0.07959071522343132,0.08631341486232406,0.04850704917770107,0.05249275507658609,0.08331758723130558,0.09396457828390435,0.09471029897192867,0.07569570810337284,0.10269994351884383,0.07315246619214515,0.07575438777789023,0.11491076886398943,0.10494113007384039,0.09832272427928446,0.06026643832020711,0.06978730491082373,0.03957380049520563,0.1001200125734127,0.05408627557449669,0.08017188740206886,0.12271624867974028,0.09745648168127148,0.08668093232447455,0.05073357549405748,0.09472841411708793,0.08087599256498676,0.09522952482920335,0.10917850528789408,0.09534698152513188,0.07876315387891375,0.07740252436132225,0.07846609213684642
E085,0.0039745329216398844,0.0033787850253383126,0.0034714551363895447,0.002506855552604603,1.0,0.005922735917078907,0.7539186044967996,0.039475454031213116,0.007881498649099386,0.016465014176188033,0.015367112061387052,0.006366048820952207,0.007797668808925534,0.0067095745452666455,0.01212631644912385,0.01199576959037757,0.00493731369000536,0.009705125666531528,0.00425407682311194,0.011677658477279728,0.013668593706255908,0.013454420597898682,0.00819803708035066,0.01902200504811841,0.012130642286534609,0.007073231267189841,0.008151413387480507,0.014505323949807431,0.013200703651103695,0.01306095433202846,0.011509533635603439,0.01275618633844503,0.011710559718733356,0.011845707870103424,0.02033414997117752,0.012383266988886763,0.012852100226031142,0.00927630980178402,0.01983271678212359,0.006876036581569844,0.01038086579479123,0.0033463611367599505,0.010897302457343298,0.016733534368797414,0.014533850568444065,0.012220534272267072,0.007137835288315054,0.01591622960413497,0.025792403011430688,0.023168312666103173,0.012722657298308399,0.017019062558105105,0.012403596067286249,0.011952190852881326,0.009607378519702395
E087,0.0343791733259313,0.03060901729498221,0.03275279451417655,0.02345092487056038,0.005922735917078907,1.0,0.02870592687464241,0.07585651789462021,0.022896112967077914,0.1249937521492735,0.08989423491303664,0.06139730023326476,0.06788996458200965,0.05395174265959384,0.08046650255741941,0.08896590918954873,0.04531164879640858,0.06357739033600016,0.03958758915575851,0.11574114127797551,0.11038211551020498,0.10513607117621139,0.06455280159656264,0.08560444498256493,0.10635125578230538,0.062128460382213715,0.06748085771730736,0.12961959308229964,0.09900007926125755,0.1141320949205512,0.09032795196527134,0.1050646207923033,0.08100481680648174,0.08164885734562476,0.11489905229418097,0.10558175936306957,0.09685807770678044,0.07418453011505062,0.08543359601766028,0.041390487787636404,0.10267267738301644,0.037715136964074254,0.08530142898850607,0.13906269650496914,0.16485129313472432,0.1694489172572231,0.11146133063445167,0.09506452055480359,0.13675225929896914,0.13107466324776498,0.16062117534551076,0.15988281869326612,0.1085004119561464,0.08242123891759812,0.08125343552179527
E097,0.010790336738870681,0.009414594653021219,0.009560229215092383,0.006629147213164955,0.7539186044967996,0.02870592687464241,1.0,0.24858583921531618,0.009669544014064856,0.059567693028139516,0.02818567308189796,0.014834480392668955,0.017359434348519966,0.01568156122626648,0.025014184855118873,0.02742501954702954,0.011365314813189514,0.022221231336110706,0.010218867783986847,0.024874626544082856,0.032138786132765225,0.028640599680586385,0.019527129685485277,0.028740859015642717,0.03047689298704617,0.017586744237897065,0.020497215255542593,0.03218652629358601,0.030416666864135734,0.03098186291406105,0.026996413811513617,0.03211731231734274,0.02735875492987102,0.026746621514311807,0.035867434121906926,0.029549286985839182,0.029887418662563208,0.021483684680804836,0.026308889052901057,0.011898884524196338,0.023424955843159692,0.010364753380401286,0.03340090230364739,0.046188364015041644,0.0451858949113738,0.038206422271055994,0.021487265481464752,0.03490436743895539,0.04088548646759604,0.040748107342163824,0.03558410085298618,0.036200972878724445,0.030502227720441935,0.03027558124479966,0.031045007185161153
E106,0.07465859160186278,0.06792347986822204,0.06884373676746852,0.049265138611031836,0.039475454031213116,0.07585651789462021,0.24858583921531618,1.0,0.0314966710862836,0.3991711362508073,0.20478040884575893,0.16924120376304974,0.1898791047130037,0.1367385982986955,0.20465765780889394,0.20560198171394975,0.11386591851380119,0.16530680392351477,0.0920800810578944,0.21895714047830805,0.25916411085556174,0.24427712429338183,0.15346193690644758,0.1814732436654661,0.23585045505870236,0.1421466234505157,0.15425690818576343,0.22560604993793298,0.24376776225053853,0.23023280676427435,0.19840886979924327,0.25853380128881076,0.2052393877635422,0.20414094745553785,0.25438531604273723,0.25434518320810706,0.24628002553013356,0.16457921270562337,0.16016848859147398,0.08117406373987278,0.16918385688886137,0.07109180202030149,0.22256374519501224,0.29456037443186905,0.2823261086611252,0.25533212459821086,0.14486511765856794,0.24961404097536458,0.2658980336693905,0.28411640678873107,0.23454839086439666,0.25309476014585053,0.23667868363645458,0.21545573477402666,0.20574076443216993
E065,0.014000369536790774,0.012059626172044289,0.024380267520137423,0.010419971828488304,0.007881498649099386,0.022896112967077914,0.009669544014064856,0.0314966710862836,1.0,0.054885009086012806,0.03309642233255385,0.023009911094715018,0.026374314053832455,0.022089981321328823,0.026428402812401146,0.035104719900095366,0.019384229427464057,0.015967640901343373,0.014053651173669898,0.05835958428542188,0.04666069380964029,0.03685964749393522,0.01991971695389915,0.03643172739307035,0.04333933314197947,0.029409448022832074,0.03780449801978505,0.0964295943876953,0.03845558084187959,0.06309001989646737,0.03751113353580892,0.03667236454477454,0.02287454318365988,0.024999609989132237,0.044168969838018705,0.04320478738878937,0.0387869283785693,0.030655423670995195,0.08320319030818275,0.4693460034840936,0.1104327989110011,0.014168934956198543,0.03010181272631602,0.06827333002976087,0.10714923070697972,0.09517074747367801,0.070221859419667,0.03571820010970955,0.1667223115698874,0.12840990092456595,0.09448078295251944,0.08630681320046303,0.049334628643163334,0.02906052388350901,0.028620492760173786
E105,0.16416922408977544,0.14753685921560608,0.14201758664633035,0.1048339439876246,0.016465014176188033,0.1249937521492735,0.059567693028139516,0.3991711362508073,0.054885009086012806,1.0,0.45420917880820294,0.41605039487319706,0.38193568553422114,0.3170772560499532,0.46257797539858025,0.43519380669164776,0.21522521864316227,0.3680020171905349,0.21286046026939603,0.4333578401114205,0.5631473644445402,0.562577998846473,0.37055377391200545,0.3997551868491945,0.4779163957223102,0.3371851409440312,0.37788061490218394,0.4902100490805838,0.5303209519811409,0.4795755772314541,0.45889816425160684,0.5320490242589252,0.4846136310417971,0.48142296832400433,0.5380963001559058,0.5291568715005049,0.53612987403549,0.3724270624350298,0.3526718783032446,0.1514140432036908,0.35570793335694123,0.1607661996243339,0.5084692932225289,0.5890050237940845,0.6321239930133381,0.5434120732833896,0.3011746820858519,0.5105463057810337,0.5244606335432227,0.530618249601437,0.4527190774753275,0.5273254645986408,0.567265950462983,0.5186466084086827,0.46974597074200763
E066,0.11463435171777206,0.09960608720785806,0.1052457742156311,0.06973960578713252,0.015367112061387052,0.08989423491303664,0.02818567308189796,0.20478040884575893,0.03309642233255385,0.45420917880820294,1.0,0.2994654857970783,0.31119260677488747,0.3183223151956097,0.5114858524379376,0.4490672116774678,0.2958934388961503,0.8175376650323415,0.17846224718675407,0.38582855816788514,0.6338348961773388,0.5869633039276897,0.32977410566687,0.3775114109218505,0.5892356432457871,0.3028946954782014,0.35538911477182306,0.45771033949830475,0.6956693744052506,0.455946284955198,0.45981824814585204,0.649168381428025,0.6843096774676298,0.6896106951751528,0.5527315653649341,0.593449183078977,0.6005884457315346,0.3818512190225776,0.29474341978216867,0.1323750045399352,0.3878581266216779,0.10646126385391842,0.3690470147100644,0.5291281220650287,0.46800498597883033,0.43088457402992664,0.19274048556873583,0.42731673195431963,0.35021934806759136,0.43204703338994,0.2975236708310701,0.43769878508238647,0.3780355382162158,0.3622323038727368,0.3334816396634274
E114,0.12415826732334126,0.11510311815625329,0.15762733008035582,0.08068016685072449,0.006366048820952207,0.06139730023326476,0.014834480392668955,0.16924120376304974,0.023009911094715018,0.41605039487319706,0.2994654857970783,1.0,0.562120346367543,0.3128273279303231,0.4221223713054679,0.3517552949037735,0.32199653209076573,0.242261777114335,0.1932345825523908,0.4128798665541095,0.40539532533082034,0.4897839240780591,0.24088029387292867,0.22747960731056835,0.3699201382253484,0.2205126476102985,0.22522069818847823,0.28662830487071406,0.4182868833677175,0.3655094356948096,0.22443797661046558,0.46352579242002045,0.3254525777811344,0.3312462695303545,0.3933788492365205,0.48478836108678025,0.4388011997235123,0.17907922319835468,0.1866816660708019,0.1690162616684587,0.24108290551949577,0.07183833276082982,0.4345639061103068,0.3545413574126868,0.43883883203256835,0.3624010481274892,0.11656254601891679,0.5424000587894591,0.2493735623224183,0.29157897646715253,0.2167966278088766,0.2663130047169962,0.5034894736746768,0.4727404024810839,0.4277834918145975
E116,0.14697452363280095,0.14341682709460132,0.18214405327455707,0.09687087653233942,0.007797668808925534,0.06788996458200965,0.017359434348519966,0.1898791047130037,0.026374314053832455,0.38193568553422114,0.31119260677488747,0.562120346367543,1.0,0.358253202864532,0.4696080485439106,0.40663361335336445,0.4140129806029927,0.25299428915189576,0.2509975976406449,0.5664057404262632,0.4745336950949515,0.5258489202917032,0.32251922704561486,0.45067139028471254,0.45156551713455395,0.28029066755810045,0.25837785548900316,0.31691900656215966,0.5026833655794825,0.4238545382071158,0.256972367923748,0.5789222905472384,0.3266350770295813,0.3302692582003392,0.5005140454430033,0.5897761234435839,0.5131301879675654,0.22640009472946174,0.2667337835671209,0.21470003620161537,0.26664139821338806,0.09795064201034814,0.4033041280535505,0.41742572095265845,0.34437170010519325,0.2711321612194756,0.14815624214923823,0.5204104433642184,0.31896339824882114,0.35617810174009107,0.23576734399413737,0.3172258399553917,0.33278840285629047,0.38384744539458315,0.3934454493953744
E118,0.10428201583207752,0.09201703209991897,0.1386624106116491,0.05991603813296197,0.0067095745452666455,0.05395174265959384,0.01568156122626648,0.1367385982986955,0.022089981321328823,0.3170772560499532,0.3183223151956097,0.3128273279303231,0.358253202864532,1.0,0.4812600870707657,0.3897686540842355,0.19709802446197286,0.27208859054322476,0.9136079660002887,0.35710011056811897,0.3669704467032943,0.5054415097782666,0.7881981664377058,0.2701231556316142,0.28782619653314967,0.87916566569652,0.8681172600196713,0.41579202765837436,0.3986229292019592,0.46719353929396273,0.3108802914467489,0.38364062995665454,0.3296746238247353,0.3612251443109218,0.41527830572767727,0.39943829222024235,0.3960459307648339,0.2295126744791863,0.38796295873351244,0.14651136378526736,0.19452311726856178,0.13257804851541877,0.22432172237702822,0.2958450552543627,0.34207884128992655,0.17631990836090086,0.10929954033168492,0.2745213575587165,0.18048011146025758,0.21347003180023424,0.14386998680333418,0.28267564569857134,0.2580543727007477,0.2416207058053202,0.20799637134021898
E119,0.3129394272415731,0.31354002059433533,0.25561193733774834,0.18362226135628335,0.01212631644912385,0.08046650255741941,0.025014184855118873,0.20465765780889394,0.026428402812401146,0.46257797539858025,0.5114858524379376,0.4221223713054679,0.4696080485439106,0.4812600870707657,1.0,0.7024368252976965,0.25653767835757646,0.4716658926752182,0.2815997814141752,0.49233527413089617,0.5581096474321372,0.8234307290138796,0.43901267281787393,0.4383555280065182,0.47025686628895386,0.38316360062894733,0.441208378093319,0.5799200147780055,0.6271772847834697,0.674936554902958,0.42545392305575935,0.5955329546136727,0.5320511808625334,0.5508097702369903,0.69888270910466,0.575818331450672,0.5670817085448783,0.3473752150272318,0.3142777880300441,0.20329313864970008,0.2976093776206385,0.1452463751502482,0.37792027535515854,0.5249641396537846,0.432887109694519,0.2917290996904107,0.1569520522478557,0.43173377446597866,0.28550562695346254,0.35563548904101966,0.26413818880308915,0.49976048740417534,0.3982665875102174,0.39687120827975764,0.356407268550062
E120,0.1737771852590719,0.1539566180694798,0.1433964669425888,0.09829473908198054,0.01199576959037757,0.08896590918954873,0.02742501954702954,0.20560198171394975,0.035104719900095366,0.43519380669164776,0.4490672116774678,0.3517552949037735,0.40663361335336445,0.3897686540842355,0.7024368252976965,1.0,0.2527682194380552,0.39375028666368406,0.23971874228254947,0.4530478225134571,0.5244722852111146,0.6744832154998103,0.36933215800734953,0.37662420365800997,0.4549232057143009,0.32239889823171103,0.38546393553606356,0.5943993072637088,0.5381111057670931,0.6865038386757341,0.46703032685083723,0.539764066701626,0.49694674664491434,0.5133221908835387,0.5887374865081584,0.530823148201363,0.5414350351945086,0.36601234153441997,0.29309847872635064,0.2147113865776351,0.2875345181520276,0.1202275529414768,0.3305794198428104,0.5258129632228905,0.4299492464427772,0.37680448367404934,0.20347483331952304,0.42338627309283433,0.34183442901382194,0.3825543572319907,0.3426379169008684,0.5191729839128724,0.38255428551462983,0.3340181139083499,0.29431899690638086
E122,0.09516716308271246,0.09141869577176918,0.11339077491448482,0.06441595531780686,0.00493731369000536,0.04531164879640858,0.011365314813189514,0.11386591851380119,0.019384229427464057,0.21522521864316227,0.2958934388961503,0.32199653209076573,0.4140129806029927,0.19709802446197286,0.25653767835757646,0.2527682194380552,1.0,0.18297851404881266,0.12992346418237152,0.31474199239155287,0.3093998621191278,0.28795457390140344,0.15446777737426656,0.17677191793405586,0.2977078445102268,0.14966984928289725,0.14165287516766087,0.21636700565519734,0.30828370450221126,0.26658382962484894,0.17241305672434856,0.36004334791365983,0.20192438114551972,0.20832241118320818,0.2986862611073664,0.377044667005021,0.33059313001768315,0.13842374116180525,0.1475136539320251,0.13217624259212185,0.17672721352236048,0.05031881703402877,0.20991472184116416,0.2566162366712753,0.20434096102510552,0.1999048842592849,0.10083363390890544,0.30230320136667943,0.22703616593744363,0.2889321181749628,0.16805981702098394,0.21212122439871706,0.18421928531040418,0.1929356849923408,0.20078590474248137
